Name,Description,Notes,Area,Cost per Hour
"BDO, Level 28, Zone  1, North Tower AHAC",,"level:28, tenant:BDO, zone:1",234,35
"BDO, Level 28, Zone  2, North Tower AHAC",,"level:28, tenant:BDO, zone:2",234,35
"BDO, Level 28, Zone  3, North Tower AHAC",,"level:28, tenant:BDO, zone:3",234,35
"BDO, Level 28, Zone  4, North Tower AHAC",,"level:28, tenant:BDO, zone:4",234,35
"BDO, Level 29, Zone  1, North Tower AHAC",,"level:29, tenant:BDO, zone:1",234,35
"BDO, Level 29, Zone  2, North Tower AHAC",,"level:29, tenant:BDO, zone:2",234,35
"BDO, Level 29, Zone  3, North Tower AHAC",,"level:29, tenant:BDO, zone:3",234,35
"BDO, Level 29, Zone  4, North Tower AHAC",,"level:29, tenant:BDO, zone:4",234,35
"BDO, Level 30, Zone  1, North Tower AHAC",,"level:30, tenant:BDO, zone:1",234,35
"BDO, Level 30, Zone  2, North Tower AHAC",,"level:30, tenant:BDO, zone:2",234,35
"BDO, Level 30, Zone  3, North Tower AHAC",,"level:30, tenant:BDO, zone:3",234,35
"BDO, Level 30, Zone  4, North Tower AHAC",,"level:30, tenant:BDO, zone:4",234,35
"Monahan, Level 31, Zone  1, North Tower AHAC",,"level:31, tenant:Monahan, zone:1",506.6,35
"Moneywise, Level 31, Zone  2, North Tower AHAC",,"level:31, tenant:Moneywise, zone:2",429.9,35
"Level 31, Zone  3, North Tower AHAC",,"level:31, tenant:, zone:3",0,35
"Level 31, Zone  4, North Tower AHAC",,"level:31, tenant:, zone:4",0,35
"CBRE, Level 32, Zone  1, North Tower AHAC",,"level:32, tenant:CBRE, zone:1",234,35
"CBRE, Level 32, Zone  2, North Tower AHAC",,"level:32, tenant:CBRE, zone:2",234,35
"CBRE, Level 32, Zone  3, North Tower AHAC",,"level:32, tenant:CBRE, zone:3",234,35
"CBRE, Level 32, Zone  4, North Tower AHAC",,"level:32, tenant:CBRE, zone:4",234,35
"Talent, Level 33, Zone  1, North Tower AHAC",,"level:33, tenant:Talent, zone:1",416.4,35
"Level 33, Zone  2, North Tower AHAC",,"level:33, tenant:, zone:2",0,35
"IASBET, Level 33, Zone  3, North Tower AHAC",,"level:33, tenant:IASBET, zone:3",461.6,35
"Level 33, Zone  4, North Tower AHAC",,"level:33, tenant:, zone:4",0,35
"Daiwa, Level 34, Zone  1, North Tower AHAC",,"level:34, tenant:Daiwa, zone:1",290,35
"Daiwa, Level 34, Zone  2, North Tower AHAC",,"level:34, tenant:Daiwa, zone:2",291,35
"Equity & Super, Level 34, Zone  3, North Tower AHAC",,"level:34, tenant:Equity & Super, zone:3",239.2,35
"Level 34, Zone  4, North Tower AHAC",,"level:34, tenant:, zone:4",0,35
"National E Conveyancing, Level 35, Zone  1, North Tower AHAC",,"level:35, tenant:National E Conveyancing, zone:1",419.2,35
"National E Conveyancing, Level 35, Zone  2, North Tower AHAC",,"level:35, tenant:National E Conveyancing, zone:2",419.2,35
"Level 35, Zone  3, North Tower AHAC",,"level:35, tenant:, zone:3",0,35
"Level 35, Zone  4, North Tower AHAC",,"level:35, tenant:, zone:4",0,35
"Perpetual, Level 36, Zone  1, North Tower AHAC",,"level:36, tenant:Perpetual, zone:1",233,35
"Perpetual, Level 36, Zone  2, North Tower AHAC",,"level:36, tenant:Perpetual, zone:2",233,35
"Perpetual, Level 36, Zone  3, North Tower AHAC",,"level:36, tenant:Perpetual, zone:3",233,35
"Perpetual, Level 36, Zone  4, North Tower AHAC",,"level:36, tenant:Perpetual, zone:4",233,35
"ANP, Level 37, Zone  1, North Tower AHAC",,"level:37, tenant:ANP, zone:1",242,35
"ANP, Level 37, Zone  2, North Tower AHAC",,"level:37, tenant:ANP, zone:2",193.5,35
"ANP, Level 37, Zone  3, North Tower AHAC",,"level:37, tenant:ANP, zone:3",205.6,35
"ANP, Level 37, Zone  4, North Tower AHAC",,"level:37, tenant:ANP, zone:4",205.6,35
"Thomsons Lawers, Level 38, Zone  1, North Tower AHAC",,"level:38, tenant:Thomsons Lawers, zone:1",279,35
"Level 38, Zone  2, North Tower AHAC",,"level:38, tenant:, zone:2",0,35
"Level 38, Zone  3, North Tower AHAC",,"level:38, tenant:, zone:3",0,35
"Level 38, Zone  4, North Tower AHAC",,"level:38, tenant:, zone:4",0,35
"Thomsons Lawers, Level 39, Zone  1, North Tower AHAC",,"level:39, tenant:Thomsons Lawers, zone:1",238.8,35
"Level 39, Zone  2, North Tower AHAC",,"level:39, tenant:, zone:2",,35
"Level 39, Zone  3, North Tower AHAC",,"level:39, tenant:, zone:3",,35
"Level 39, Zone  4, North Tower AHAC",,"level:39, tenant:, zone:4",,35
"Level PLAZA, Zone  1, South Tower AHAC",,"level:PLAZA, tenant:, zone:1",,35
"Level PLAZA, Zone  2, South Tower AHAC",,"level:PLAZA, tenant:, zone:2",,35
"Level PLAZA, Zone  3, South Tower AHAC",,"level:PLAZA, tenant:, zone:3",,35
"Level PLAZA, Zone  4, South Tower AHAC",,"level:PLAZA, tenant:, zone:4",,35
"Level M1, Zone  1, South Tower AHAC",,"level:M1, tenant:, zone:1",,35
"Level M1, Zone  2, South Tower AHAC",,"level:M1, tenant:, zone:2",,35
"Level M1, Zone  3, South Tower AHAC",,"level:M1, tenant:, zone:3",,35
"Level M1, Zone  4, South Tower AHAC",,"level:M1, tenant:, zone:4",,35
"Level M2, Zone  1, South Tower AHAC",,"level:M2, tenant:, zone:1",,35
"Level M2, Zone  2, South Tower AHAC",,"level:M2, tenant:, zone:2",,35
"Level M2, Zone  3, South Tower AHAC",,"level:M2, tenant:, zone:3",,35
